SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
5869,"2064","1","City","Airport","2007","Airline Promotional Set",2,116,,,,,"https://images.brickset.com/sets/images/2064-1.jpg",570,1498
6102,"3288","1","Duplo","Bob the Builder","2007","Packer",1,19,14.99,19.99,,,"https://images.brickset.com/sets/images/3288-1.jpg",79,48
6103,"3289","1","Duplo","Bob the Builder","2007","Muck & Roley in the Sunflower Factory",1,37,24.99,29.99,,,"https://images.brickset.com/sets/images/3289-1.jpg",79,44
6098,"3352","1","Duplo","Thomas the Tank Engine","2007","Salty the Dockyard Diesel",,8,14.65,12.99,,,"https://images.brickset.com/sets/images/3352-1.jpg",191,60
6099,"3353","1","Duplo","Thomas the Tank Engine","2007","Spencer and Sir Topham Hatt",1,45,24.49,29.99,,,"https://images.brickset.com/sets/images/3353-1.jpg",224,65
6100,"3354","1","Duplo","Thomas the Tank Engine","2007","Gordon's Express",,13,19.55,19.99,,,"https://images.brickset.com/sets/images/3354-1.jpg",168,64
6319,"3573","1","Sports","Football","2007","Superstar Figure ",1,6,,,,,"https://images.brickset.com/sets/images/3573-1.jpg",12,203
5970,"3870","1","Exo-Force","Golden City","2007","Red Walker",1,29,,,,,"https://images.brickset.com/sets/images/3870-1.jpg",134,499
5971,"3871","1","Exo-Force","Golden City","2007","White Flyer",1,21,,,,,"https://images.brickset.com/sets/images/3871-1.jpg",128,471
6569,"3872","1","Exo-Force","Golden City","2007","Robo Chopper",,29,,,,,"https://images.brickset.com/sets/images/3872-1.jpg",47,362
6203,"3885","1","Exo-Force","Golden City","2007","Mini Jet Fighter",1,22,,,,,"https://images.brickset.com/sets/images/3885-1.jpg",206,425
6179,"3886","1","Exo-Force","Golden City","2007","Green Exo Fighter",1,19,,,,,"https://images.brickset.com/sets/images/3886-1.jpg",230,419
5702,"4825","1","Duplo","Princess Castle","2007","Princess and Horse",1,8,7.99,9.99,,,"https://images.brickset.com/sets/images/4825-1.jpg",54,36
5703,"4826","1","Duplo","Princess Castle","2007","Princess and Pony Picnic",1,19,19.55,19.99,,,"https://images.brickset.com/sets/images/4826-1.jpg",45,38
5704,"4828","1","Duplo","Princess Castle","2007","Princess Royal Stables",2,49,34.99,39.99,,,"https://images.brickset.com/sets/images/4828-1.jpg",44,47
6101,"4861","1","Duplo","LEGO Ville","2007","Police Boat",3,27,19.55,24.99,,,"https://images.brickset.com/sets/images/4861-1.jpg",113,58
5560,"4915","1","Creator","","2007","Mini Construction",,68,3.99,4.99,,,"https://images.brickset.com/sets/images/4915-1.jpg",2923,457
5561,"4916","1","Creator","","2007","Mini Animals",,77,3.99,4.99,,,"https://images.brickset.com/sets/images/4916-1.jpg",1903,327
